s,a,r,sp,episode_index
24701,3,-25,24701,0
24701,2,-100,24201,0
24201,3,-25,24200,0
24200,4,0,24200,0
24200,4,0,24200,0
24200,4,0,24699,0
24699,3,-25,24199,0
24199,3,-25,24199,0
24199,2,-100,24198,0
24198,3,-25,24197,0
24197,4,0,24197,0
24197,2,-100,23696,0
23696,4,0,23695,0
23695,3,-25,23694,0
23694,2,-100,23693,0
23693,4,0,23693,0
23693,2,-100,23692,0
23692,2,-100,23191,0
23191,4,0,23690,0
23690,3,-25,23689,0
23689,5,-25,23688,0
23688,4,0,24187,0
24187,5,-25,24187,0
24187,4,0,24687,0
24687,5,-25,25187,0
25187,6,-100,25687,0
25687,5,-25,25688,0
25688,3,-25,25688,0
25688,4,0,26189,0
26189,3,-25,26190,0
26190,3,-25,26191,0
26191,3,-25,26191,0
26191,3,-25,26192,0
26192,6,-100,26693,0
26693,6,-100,26695,0
26695,6,-100,27196,0
27196,5,-25,27698,0
27698,3,-25,27700,0
27700,4,0,27702,0
27702,4,0,27704,0
27704,6,-100,27706,0
27706,4,0,27708,0
27708,3,-25,27710,0
27710,5,-25,27712,0
27712,3,-25,27713,0
27713,4,0,27715,0
27715,4,0,27217,0
27217,6,-100,27719,0
27719,4,0,27221,0
27221,6,-100,27722,0
27722,5,-25,27724,0
27724,3,-25,27226,0
27226,3,-25,26727,0
26727,4,0,26728,0
26728,6,-100,26729,0
26729,3,-25,26230,0
26230,6,-100,26231,0
26231,3,-25,25732,0
25732,5,-25,25732,0
25732,4,0,25233,0
25233,5,-25,25233,0
25233,6,-100,25233,0
25233,5,-25,25233,0
25233,6,-100,25233,0
25233,6,-100,25233,0
25233,5,-25,25233,0
25233,6,-100,25234,0
25234,4,0,24733,0
24733,4,0,24233,0
24233,3,-25,24232,0
24232,2,-100,23231,0
23231,4,0,23230,0
23230,4,0,22728,0
22728,5,-25,22727,0
22727,2,-100,22225,0
22225,4,0,22223,0
22223,3,-25,21721,0
21721,2,-100,21218,0
21218,5,-25,21215,0
21215,5,-25,21213,0
21213,4,0,21210,0
21210,3,-25,20707,0
20707,3,-25,20704,0
20704,4,0,20701,0
20701,4,0,20698,0
20698,5,-25,21196,0
21196,2,-100,20693,0
20693,4,0,21190,0
21190,5,-25,21187,0
21187,2,-100,21185,0
21185,4,0,21182,0
21182,3,-25,21180,0
21180,5,-25,21677,0
21677,4,0,22175,0
22175,5,-25,22674,0
22674,4,0,22672,0
22672,5,-25,23171,0
23171,4,0,23670,0
23670,5,-25,24170,0
24170,5,-25,24670,0
24670,2,-100,24670,0
