s,a,r,sp,episode_index
61,1,0,61,0
61,1,0,61,0
61,2,0,51,0
51,1,0,51,0
51,4,0,41,0
41,3,0,42,0
42,1,0,41,0
41,1,0,41,0
41,3,0,51,0
51,1,0,51,0
51,2,0,52,0
52,1,0,51,0
51,2,0,52,0
52,2,0,53,0
53,3,0,63,0
63,2,0,64,0
64,1,0,63,0
63,1,0,62,0
62,1,0,63,0
63,4,0,53,0
53,4,0,52,0
52,1,0,51,0
51,2,0,41,0
41,3,0,51,0
51,1,0,51,0
51,3,0,61,0
61,1,0,61,0
61,4,0,51,0
51,3,0,61,0
61,3,0,71,0
71,3,0,81,0
81,1,0,81,0
81,2,0,82,0
82,3,3,81,0
81,2,0,82,0
82,3,3,81,0
81,1,0,81,0
81,3,0,91,0
91,2,0,81,0
81,2,0,91,0
91,2,0,81,0
81,3,0,82,0
82,3,3,92,0
92,1,0,91,0
91,4,0,81,0
81,4,0,71,0
71,4,0,72,0
72,3,0,82,0
82,2,3,83,0
83,4,0,73,0
73,1,0,72,0
72,2,0,82,0
82,4,3,72,0
72,2,0,62,0
62,2,0,61,0
61,4,0,51,0
51,4,0,52,0
52,4,0,42,0
42,4,0,32,0
32,3,0,31,0
31,3,0,41,0
41,3,0,42,0
42,2,0,41,0
41,4,0,31,0
31,3,0,41,0
41,2,0,51,0
51,1,0,51,0
51,2,0,61,0
61,2,0,71,0
71,4,0,61,0
61,4,0,71,0
71,2,0,72,0
72,1,0,71,0
71,4,0,61,0
61,2,0,62,0
62,3,0,72,0
72,2,0,71,0
71,4,0,81,0
81,3,0,71,0
71,4,0,61,0
61,2,0,62,0
62,1,0,61,0
61,1,0,61,0
61,2,0,71,0
71,2,0,61,0
61,2,0,62,0
62,1,0,61,0
61,3,0,71,0
71,4,0,61,0
61,3,0,71,0
71,3,0,61,0
61,1,0,61,0
61,4,0,71,0
71,2,0,72,0
72,4,0,62,0
62,1,0,61,0
61,4,0,71,0
71,3,0,81,0
81,2,0,71,0
71,4,0,61,0
27,1,0,37,1
37,4,0,27,1
27,3,0,37,1
37,1,0,47,1
47,1,10,48,1
48,2,0,49,1
49,4,0,39,1
39,3,0,49,1
49,3,0,59,1
59,4,0,60,1
60,1,0,59,1
59,3,0,69,1
69,3,0,79,1
79,3,0,69,1
69,3,0,68,1
68,3,0,78,1
78,2,0,79,1
79,1,0,69,1
69,4,0,59,1
59,2,0,60,1
60,1,0,59,1
59,3,0,69,1
69,2,0,68,1
68,1,0,67,1
67,1,0,68,1
68,4,0,58,1
58,3,0,68,1
68,3,0,69,1
69,4,0,59,1
59,4,0,49,1
49,4,0,48,1
48,1,0,49,1
49,1,0,59,1
59,3,0,58,1
58,2,0,59,1
59,3,0,69,1
69,2,0,59,1
59,1,0,49,1
49,2,0,39,1
39,3,0,49,1
49,2,0,50,1
50,3,0,40,1
40,1,0,50,1
50,1,0,49,1
49,2,0,50,1
50,3,0,60,1
60,4,0,70,1
70,4,0,60,1
60,4,0,70,1
70,1,0,69,1
69,2,0,70,1
70,4,0,60,1
60,1,0,59,1
59,1,0,60,1
60,4,0,50,1
50,3,0,60,1
60,4,0,70,1
70,1,0,60,1
60,1,0,59,1
59,2,0,69,1
69,4,0,59,1
59,2,0,60,1
60,1,0,59,1
59,2,0,60,1
60,3,0,50,1
50,1,0,60,1
60,4,0,59,1
59,3,0,69,1
69,4,0,59,1
59,1,0,58,1
58,4,0,48,1
48,4,0,38,1
38,2,0,39,1
39,1,0,38,1
38,3,0,39,1
39,3,0,49,1
49,4,0,59,1
59,3,0,69,1
69,4,0,59,1
59,3,0,69,1
69,4,0,79,1
79,3,0,69,1
69,4,0,59,1
59,2,0,60,1
60,3,0,50,1
50,3,0,60,1
60,1,0,59,1
59,1,0,58,1
58,1,0,48,1
48,3,0,38,1
38,2,0,37,1
37,3,0,47,1
47,3,10,57,1
57,1,0,58,1
58,1,0,57,1
57,3,0,67,1
67,1,0,66,1
66,1,0,65,1
65,1,0,55,1
55,4,0,65,1
81,3,0,71,2
71,1,0,71,2
71,2,0,61,2
61,4,0,51,2
51,1,0,51,2
51,3,0,61,2
61,2,0,71,2
71,3,0,81,2
81,4,0,71,2
71,4,0,81,2
81,1,0,81,2
81,4,0,71,2
71,4,0,81,2
81,4,0,71,2
71,4,0,61,2
61,2,0,71,2
71,3,0,81,2
81,2,0,91,2
91,2,0,81,2
81,1,0,81,2
81,3,0,82,2
82,3,3,92,2
92,4,0,93,2
93,4,0,92,2
92,1,0,82,2
82,4,3,72,2
72,3,0,82,2
82,3,3,92,2
92,1,0,91,2
91,1,0,91,2
91,1,0,91,2
91,4,0,81,2
81,4,0,71,2
71,4,0,61,2
61,2,0,62,2
62,4,0,63,2
63,4,0,64,2
64,4,0,54,2
54,3,0,64,2
64,1,0,63,2
63,4,0,53,2
53,3,0,63,2
63,2,0,64,2
64,2,0,65,2
65,4,0,75,2
75,4,0,65,2
65,4,0,55,2
55,1,0,54,2
54,3,0,64,2
64,1,0,54,2
54,3,0,64,2
64,3,0,65,2
65,1,0,64,2
64,3,0,65,2
65,3,0,75,2
75,2,0,76,2
76,1,0,66,2
66,3,0,76,2
76,1,0,75,2
75,1,0,74,2
74,4,0,64,2
64,4,0,54,2
54,2,0,55,2
55,1,0,65,2
65,1,0,64,2
64,2,0,54,2
54,2,0,55,2
55,4,0,45,2
45,1,0,55,2
55,3,0,65,2
65,1,0,64,2
64,4,0,54,2
54,3,0,64,2
64,3,0,74,2
74,1,0,73,2
73,2,0,74,2
74,1,0,73,2
73,2,0,74,2
74,3,0,64,2
64,4,0,54,2
54,2,0,64,2
64,1,0,63,2
63,4,0,64,2
64,4,0,54,2
54,2,0,53,2
53,1,0,52,2
52,2,0,53,2
53,3,0,63,2
63,3,0,73,2
73,2,0,72,2
72,1,0,71,2
71,2,0,72,2
72,3,0,82,2
82,3,3,92,2
92,1,0,91,2
91,1,0,91,2
91,4,0,81,2
81,3,0,91,2
91,3,0,91,2
91,3,0,91,2
74,3,0,84,3
84,3,0,94,3
94,1,0,93,3
93,2,0,94,3
94,2,0,84,3
84,1,0,83,3
83,3,0,93,3
93,2,0,94,3
94,2,0,95,3
95,3,0,95,3
95,4,0,85,3
85,2,0,86,3
86,3,0,96,3
96,3,0,96,3
96,1,0,97,3
97,2,0,98,3
98,4,0,88,3
88,4,0,98,3
98,4,0,88,3
88,2,0,89,3
89,2,0,90,3
90,4,0,100,3
100,3,0,100,3
100,1,0,90,3
90,4,0,80,3
80,4,0,90,3
90,2,0,90,3
90,1,0,80,3
80,3,0,79,3
79,4,0,78,3
78,4,0,79,3
79,3,0,89,3
89,1,0,88,3
88,3,0,87,3
87,3,0,97,3
97,2,0,98,3
98,1,0,97,3
97,2,0,98,3
98,4,0,97,3
97,2,0,98,3
98,2,0,99,3
99,4,0,89,3
89,1,0,88,3
88,4,0,89,3
89,2,0,90,3
90,1,0,89,3
89,2,0,90,3
90,1,0,89,3
89,2,0,79,3
79,2,0,80,3
80,3,0,90,3
90,3,0,80,3
80,1,0,79,3
79,2,0,80,3
80,2,0,80,3
80,3,0,90,3
90,1,0,89,3
89,1,0,88,3
88,2,0,89,3
89,1,0,88,3
88,3,0,98,3
98,4,0,99,3
99,2,0,89,3
89,4,0,79,3
79,3,0,89,3
89,3,0,90,3
90,3,0,80,3
